Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S6,KR,43,0.465,0.93,1761,-30,1.567361111,10.9,11.7,6.2,6.8,48.8,41.9,1.53,37.9,0.37,66.7,0.37,-0.1,-185,0.7,45.5,30.1,1979,3.4,0.75,1.34
CJ Entus,S6,KR,44,0.273,0.75,1700,-158,1.574305556,9,12,5,8.1,40.9,54.5,1.8,44.6,0.09,15.4,0.57,-0.2,-713,0.77,37.2,29.7,1791,3.4,0.74,1.37
ESC Ever,S6,KR,45,0.356,0.78,1706,-121,1.559027778,8.6,11.1,5,7.2,53.3,66.7,1.71,43.8,0.13,24,0.56,-0.1,-194,0.58,37.5,30.4,1742,3.5,0.8,1.48
Jin Air Green Wings,S6,KR,45,0.422,0.9,1706,-101,1.779861111,9.2,10.3,5.9,7.3,44.4,57.8,2,44.5,0.24,45.8,0.56,0,-177,0.78,41.9,30.1,1855,3.6,0.92,1.59
KT Rolster,S6,KR,44,0.659,1.43,1828,120,1.652777778,13.8,9.7,7.4,5.3,72.7,50,2.34,57.3,0.5,71,0.61,0.2,641,0.86,59.1,30.4,2068,3.5,0.86,1.54
Longzhu Gaming,S6,KR,41,0.39,0.95,1758,-12,1.677777778,9.7,10.2,6.3,7,56.1,41.5,2.02,49.7,0.32,50,0.61,0.2,521,0.9,51.3,30.6,2055,3.6,0.83,1.56
MVP,S6,KR,41,0.439,0.85,1751,-60,1.480555556,10.7,12.6,5.8,6.7,46.3,36.6,1.83,46.3,0.17,31.8,0.56,-0.3,-792,0.88,47.9,29.3,2049,3.4,0.7,1.3
ROX Tigers,S6,KR,40,0.75,1.39,1872,186,1.479166667,14.8,10.5,7.8,4.5,50,47.5,2.23,63.1,0.38,62.5,0.5,0.1,372,0.78,68.3,30.2,2307,3.6,0.69,1.32
Samsung Galaxy,S6,KR,40,0.6,0.94,1805,43,1.675,10.5,11.2,7,5.9,50,37.5,2.05,48.4,0.3,54.5,0.5,0.3,351,0.75,50.9,31.9,2042,3.7,0.8,1.58
SK Telecom T1,S6,KR,41,0.683,1.22,1858,163,1.5375,12.7,10.4,7.5,4.7,36.6,63.4,2.54,66.2,0.44,75,0.66,0.1,246,0.95,63.1,31.4,2315,3.4,0.67,1.47
